Asylum Country,Origin Country,Year,Refugee Total,Ref. UNHCR assisted
Canada,Afghanistan,2013,2700,0
Canada,Libya,2013,230,0
Canada,Syrian Arab Rep.,2013,592,0
Germany,Afghanistan,2013,24203,0
Germany,Libya,2013,141,0
Germany,Syrian Arab Rep.,2013,21253,0
Lebanon,Afghanistan,2013,16,16
Lebanon,Libya,2013,5,5
Lebanon,Syrian Arab Rep.,2013,851284,851284
Sweden,Afghanistan,2013,10499,0
Sweden,Libya,2013,380,0
Sweden,Syrian Arab Rep.,2013,17984,0
Switzerland,Afghanistan,2013,2578,0
Switzerland,Libya,2013,199,0
Switzerland,Syrian Arab Rep.,2013,2012,0
United Kingdom,Afghanistan,2013,9166,0
United Kingdom,Libya,2013,828,0
United Kingdom,Syrian Arab Rep.,2013,3169,0
United States,Afghanistan,2013,1071,0
United States,Libya,2013,159,0
United States,Syrian Arab Rep.,2013,3802,0
Canada,Afghanistan,2012,2609,0
Canada,Libya,2012,241,0
Canada,Syrian Arab Rep.,2012,533,0
Germany,Afghanistan,2012,31746,0
Germany,Libya,2012,2280,0
Germany,Syrian Arab Rep.,2012,18165,0
Lebanon,Afghanistan,2012,12,12
Lebanon,Libya,2012,4,4
Lebanon,Syrian Arab Rep.,2012,126755,126755
Sweden,Afghanistan,2012,8454,0
Sweden,Libya,2012,355,0
Sweden,Syrian Arab Rep.,2012,6051,0
Switzerland,Afghanistan,2012,2099,0
Switzerland,Libya,2012,208,0
Switzerland,Syrian Arab Rep.,2012,1391,0
United Kingdom,Afghanistan,2012,9842,0
United Kingdom,Libya,2012,655,0
United Kingdom,Syrian Arab Rep.,2012,1713,0
United States,Afghanistan,2012,1017,0
United States,Libya,2012,137,0
United States,Syrian Arab Rep.,2012,1425,0
Canada,Afghanistan,2011,2659,0
Canada,Libya,2011,246,0
Canada,Syrian Arab Rep.,2011,547,0
Germany,Afghanistan,2011,30425,0
Germany,Libya,2011,686,0
Germany,Syrian Arab Rep.,2011,10155,0
Lebanon,Afghanistan,2011,5,5
Lebanon,Syrian Arab Rep.,2011,93,93
Sweden,Afghanistan,2011,6620,0
Sweden,Libya,2011,346,0
Sweden,Syrian Arab Rep.,2011,1206,0
Switzerland,Afghanistan,2011,2127,0
Switzerland,Libya,2011,223,0
Switzerland,Syrian Arab Rep.,2011,1074,0
United Kingdom,Afghanistan,2011,14424,0
United Kingdom,Libya,2011,515,0
United Kingdom,Syrian Arab Rep.,2011,693,0
United States,Afghanistan,2011,1103,0
United States,Libya,2011,115,0
United States,Syrian Arab Rep.,2011,373,0
Canada,Afghanistan,2010,2727,0
Canada,Libya,2010,292,0
Canada,Syrian Arab Rep.,2010,545,0
Germany,Afghanistan,2010,30404,0
Germany,Libya,2010,636,0
Germany,Syrian Arab Rep.,2010,10518,0
Lebanon,Afghanistan,2010,9,9
Lebanon,Libya,2010,1,1
Lebanon,Syrian Arab Rep.,2010,40,40
Sweden,Afghanistan,2010,4150,0
Sweden,Libya,2010,213,0
Sweden,Syrian Arab Rep.,2010,1169,0
Switzerland,Afghanistan,2010,1929,0
Switzerland,Libya,2010,264,0
Switzerland,Syrian Arab Rep.,2010,694,0
United Kingdom,Afghanistan,2010,23406,0
United Kingdom,Libya,2010,240,0
United Kingdom,Syrian Arab Rep.,2010,499,0
United States,Afghanistan,2010,1364,0
United States,Libya,2010,51,0
United States,Syrian Arab Rep.,2010,312,0
Canada,Afghanistan,2009,3015,
Canada,Libya,2009,305,
Canada,Syrian Arab Rep.,2009,577,
Germany,Afghanistan,2009,30320,
Germany,Libya,2009,571,
Germany,Syrian Arab Rep.,2009,10217,
Lebanon,Afghanistan,2009,8,8
Lebanon,Libya,2009,1,1
Lebanon,Syrian Arab Rep.,2009,60,60
Sweden,Afghanistan,2009,3637,
Sweden,Libya,2009,200,
